TransactionID,Timestamp,Amount,OldBalanceOrigin,NewBalanceOrigin,OldBalanceDestination,NewBalanceDestination,BalanceDeltaOrigin,BalanceDeltaDestination,TransactionType,SenderID,ReceiverID,SenderLocation,SenderCountry,ReceiverLocation,ReceiverCountry,LocationMismatch,PreviousLinkWithReceiver,LinkHistoryCount,SenderPastFraudCount,ReceiverPastFraudCount,SenderAvgTransactionAmount,ReceiverAvgTransactionAmount,AmountDeviationFromSenderAvg,TransactionVelocity24h,AmountAnomalyFlag,BehaviorAnomalyFlag,FraudRiskScore,IsFraud
TXN2001066,16-11-2025 22:13,118.74,18114.22,17995.48,17660.35,17779.08,118.74,118.74,TRANSFER,CUST_SEND_75,CUST_RECV_75,Bangalore,UAE,Hyderabad,Germany,0,0,0,0,0,10938.86,5796.3,-98.91,3,0,1,0.756,1
TXN1000121,06-12-2025 19:14,7826.51,13930.24,6103.73,14560.2,22386.71,7826.51,7826.51,TRANSFER,CUST_SEND_24,CUST_RECV_12,Kolkata,Canada,Kolkata,Canada,0,0,0,0,0,7667.39,8452.64,2.08,1,0,0,0.039,0
TXN2001836,04-12-2025 23:22,691.18,3411.06,2719.89,15474.23,16165.41,691.18,691.18,CASH_OUT,CUST_SEND_99,CUST_RECV_136,Lucknow,India,Bangalore,UK,1,0,0,0,0,16462.11,7149.91,-95.8,12,0,1,0.67,1
TXN1000852,25-11-2025 18:46,7958.68,38632.92,30674.24,815.99,8774.67,7958.68,7958.68,TRANSFER,CUST_SEND_44,CUST_RECV_43,Hyderabad,Germany,Bangalore,Germany,0,0,0,1,0,8148.93,4274.08,-2.33,2,0,0,0.339,0
TXN1000439,26-11-2025 19:48,6866.85,9123.43,2256.58,12164.22,19031.07,6866.85,6866.85,PAYMENT,CUST_SEND_144,CUST_RECV_87,Jaipur,USA,Jaipur,USA,0,0,0,0,0,10885.85,7119.5,-36.92,7,0,0,0.145,0
TXN2001164,01-12-2025 23:31,1396.27,45894.52,44498.25,7215.45,8611.72,1396.27,1396.27,CASH_OUT,CUST_SEND_23,CUST_RECV_56,Delhi,UAE,Chennai,Germany,1,0,0,0,0,17866.38,1746.93,-92.18,11,0,1,0.967,1
TXN1000986,09-12-2025 20:35,3964.26,31150.62,27186.36,4132.83,8097.09,3964.26,3964.26,TRANSFER,CUST_SEND_36,CUST_RECV_79,Kolkata,France,Mumbai,UAE,0,1,6,0,0,2611.92,11110.16,51.78,6,0,0,0.063,0
TXN2001343,22-11-2025 05:52,46115.87,10777.42,-35338.45,18698.11,64813.98,46115.87,46115.87,TRANSFER,CUST_SEND_105,CUST_RECV_19,Chennai,Germany,Chennai,USA,0,0,0,1,0,14788.67,12819.65,211.83,10,1,1,0.692,1
TXN1000398,29-11-2025 17:48,5516.36,3097.16,-2419.2,14913.92,20430.28,5516.36,5516.36,TRANSFER,CUST_SEND_88,CUST_RECV_92,Kolkata,Singapore,Kolkata,Singapore,0,1,55,0,0,6270.24,12278.26,-12.02,3,0,0,0.288,0
TXN2001671,06-12-2025 23:57,15578.76,37469.62,21890.86,8873.87,24452.63,15578.76,15578.76,TRANSFER,CUST_SEND_62,CUST_RECV_104,Delhi,UK,Pune,Australia,1,0,0,0,0,6428.53,13272.43,142.34,1,1,1,0.915,1
TXN1000473,11-12-2025 10:35,16104.03,19363.99,3259.96,16933.47,33037.51,16104.03,16104.03,DEBIT,CUST_SEND_103,CUST_RECV_159,Delhi,France,Bangalore,USA,0,0,0,0,0,16628.21,8824.98,-3.15,4,0,0,0.327,0
TXN1000613,30-11-2025 10:42,16633.38,15521.21,-1112.16,2508.19,19141.57,16633.38,16633.38,DEBIT,CUST_SEND_49,CUST_RECV_146,Bangalore,Germany,Bangalore,Germany,0,1,44,0,0,18220.73,11119.2,-8.71,7,0,0,0.324,0
TXN2001139,25-11-2025 22:21,348.64,561.77,213.13,19526.58,19875.22,348.64,348.64,CASH_OUT,CUST_SEND_33,CUST_RECV_3,Bangalore,UK,Bangalore,India,0,0,0,0,0,16615.34,1546.87,-97.9,4,0,1,0.927,1
TXN1000261,02-12-2025 12:18,12260.51,14493.25,2232.73,1621.5,13882.01,12260.51,12260.51,TRANSFER,CUST_SEND_92,CUST_RECV_10,Pune,Canada,Pune,Canada,0,1,50,1,0,12089.47,7661.16,1.41,4,0,0,0.287,0
TXN2001363,25-11-2025 22:53,45156.19,24938.17,-20218.02,7354.76,52510.96,45156.19,45156.19,CASH_OUT,CUST_SEND_33,CUST_RECV_103,Kolkata,Japan,Kolkata,Australia,0,0,0,0,1,16615.34,7898.56,171.77,3,1,1,0.822,1
TXN1000086,22-11-2025 09:44,10089.55,48992.86,38903.31,8756.34,18845.89,10089.55,10089.55,TRANSFER,CUST_SEND_80,CUST_RECV_65,Bangalore,Singapore,Bangalore,Singapore,0,1,54,0,0,12101.97,15216.93,-16.63,5,0,0,0.234,0
TXN1000346,14-11-2025 17:41,20386.18,6503.23,-13882.95,4839.48,25225.66,20386.18,20386.18,PAYMENT,CUST_SEND_118,CUST_RECV_163,Jaipur,France,Jaipur,France,0,1,61,1,0,19428.37,19335.51,4.93,7,0,0,0.338,0
TXN2001676,24-11-2025 22:37,18055.11,1682.23,-16372.87,11850.86,29905.97,18055.11,18055.11,CASH_OUT,CUST_SEND_17,CUST_RECV_59,Lucknow,India,Delhi,Japan,0,0,0,0,1,16002.74,2553.42,12.83,13,1,0,0.68,1
TXN1000208,17-11-2025 19:14,3149.58,41223.7,38074.11,12709.53,15859.11,3149.58,3149.58,TRANSFER,CUST_SEND_5,CUST_RECV_118,Ahmedabad,France,Ahmedabad,France,0,1,66,0,0,2734.45,2524.44,15.18,5,0,0,0.172,0
TXN1000825,15-11-2025 13:58,4709.34,37650.93,32941.59,10974.5,15683.83,4709.34,4709.34,TRANSFER,CUST_SEND_88,CUST_RECV_133,Lucknow,UK,Lucknow,UK,0,0,0,0,0,6270.24,6319.6,-24.89,3,0,0,0.303,0
TXN1000726,06-12-2025 12:37,11644.25,32333.14,20688.89,4529.31,16173.56,11644.25,11644.25,PAYMENT,CUST_SEND_104,CUST_RECV_92,Mumbai,UK,Mumbai,UK,0,0,0,0,0,19046.2,12278.26,-38.86,7,0,0,0.349,0
TXN2001814,27-11-2025 02:34,20756.25,26122.6,5366.35,13801.63,34557.88,20756.25,20756.25,TRANSFER,CUST_SEND_58,CUST_RECV_138,Jaipur,India,Ahmedabad,Canada,0,0,0,1,1,15174.85,10644.6,36.78,1,1,0,0.96,1
TXN1000249,18-11-2025 21:59,21407.68,30174.4,8766.72,18170.24,39577.92,21407.68,21407.68,PAYMENT,CUST_SEND_41,CUST_RECV_168,Pune,UK,Pune,UK,0,1,57,0,0,18997.72,2263.43,12.69,7,0,0,0.31,0
TXN1000299,18-11-2025 10:28,20968.41,28180.61,7212.2,16032.92,37001.34,20968.41,20968.41,PAYMENT,CUST_SEND_118,CUST_RECV_4,Bangalore,Singapore,Bangalore,Singapore,0,1,28,1,0,19428.37,15347.61,7.93,1,0,0,0.046,0
TXN1000830,12-11-2025 12:44,13029.49,22770.79,9741.31,19635.45,32664.93,13029.49,13029.49,DEBIT,CUST_SEND_119,CUST_RECV_128,Ahmedabad,India,Ahmedabad,India,0,1,62,0,0,17000.26,4246.86,-23.36,2,0,0,0.041,0
TXN2001781,14-11-2025 23:56,41205.85,9787.14,-31418.72,13980.28,55186.14,41205.85,41205.85,CASH_OUT,CUST_SEND_33,CUST_RECV_50,Bangalore,Australia,Chennai,India,0,1,10,0,1,16615.34,3292.08,148,1,1,1,0.98,1
TXN2001846,06-12-2025 03:05,305.04,469.87,164.82,7951.04,8256.08,305.04,305.04,TRANSFER,CUST_SEND_125,CUST_RECV_154,Jaipur,UAE,Jaipur,UAE,0,1,7,0,0,17429.73,5838.17,-98.25,16,0,1,0.836,1
TXN2001105,22-11-2025 23:11,39451.16,21296.78,-18154.38,19846.58,59297.74,39451.16,39451.16,CASH_OUT,CUST_SEND_1,CUST_RECV_12,Hyderabad,UK,Hyderabad,Singapore,0,0,0,0,0,18014.94,8452.64,118.99,18,1,1,0.863,1
TXN1000210,27-11-2025 15:23,14556.27,38366.13,23809.86,15652.22,30208.49,14556.27,14556.27,PAYMENT,CUST_SEND_139,CUST_RECV_75,Kolkata,Australia,Kolkata,Australia,0,1,19,0,0,13762.31,5796.3,5.77,5,0,0,0.328,0
TXN1000318,10-12-2025 19:40,7407.73,23692.95,16285.22,10686.58,18094.31,7407.73,7407.73,PAYMENT,CUST_SEND_13,CUST_RECV_179,Kolkata,India,Kolkata,India,0,1,45,0,1,7244.63,10938.24,2.25,4,0,0,0.34,0
TXN1000841,13-11-2025 18:59,18634.91,46980.81,28345.91,12267.4,30902.31,18634.91,18634.91,PAYMENT,CUST_SEND_109,CUST_RECV_5,Hyderabad,UAE,Hyderabad,UAE,0,1,30,2,0,17455.21,12785.88,6.76,4,0,0,0.228,0
TXN1000593,20-11-2025 14:32,11570.18,20296.8,8726.62,17262.96,28833.14,11570.18,11570.18,PAYMENT,CUST_SEND_100,CUST_RECV_132,Pune,Germany,Pune,Germany,0,1,69,0,0,14009.89,11860.64,-17.41,1,0,0,0.104,0
